Month,DHI,DNI,GHI,Solar Zenith Angle,Wind Speed,datetime,Angulo,azimuth,tracker_theta,Hour Sine,Hour Cosine
7,0,0,0,175.6,2.0,2019-07-22 00:00:00,15,223.8186308297719,0.0,0.0,1.0
7,0,0,0,174.91,1.8,2019-07-22 00:30:00,15,128.30593368238883,0.0,0.13052619222005157,0.9914448613738104
7,0,0,0,168.63,1.7000000000000002,2019-07-22 01:00:00,15,104.16107184089702,0.0,0.25881904510252074,0.9659258262890683
7,0,0,0,161.86,1.8,2019-07-22 01:30:00,15,96.48868110256512,0.0,0.3826834323650898,0.9238795325112867
7,0,0,0,155.01,1.8,2019-07-22 02:00:00,15,92.18251474819476,0.0,0.49999999999999994,0.8660254037844387
7,0,0,0,148.14,1.9,2019-07-22 02:30:00,15,89.05360107860372,0.0,0.6087614290087207,0.7933533402912352
7,0,0,0,141.27,2.0,2019-07-22 03:00:00,15,86.44236427289172,0.0,0.7071067811865476,0.7071067811865476
7,0,0,0,134.41,2.1,2019-07-22 03:30:00,15,84.0763689843667,0.0,0.7933533402912352,0.6087614290087207
7,0,0,0,127.59,2.2,2019-07-22 04:00:00,15,81.81626475662739,0.0,0.8660254037844386,0.5000000000000001
7,0,0,0,120.81,2.3000000000000003,2019-07-22 04:30:00,15,79.57701037892792,0.0,0.9238795325112867,0.38268343236508984
7,0,0,0,114.07,2.4000000000000004,2019-07-22 05:00:00,15,77.29752412730807,0.0,0.9659258262890683,0.25881904510252074
7,0,0,0,107.4,2.5,2019-07-22 05:30:00,15,74.92680775287852,0.0,0.9914448613738104,0.1305261922200517
7,0,0,0,100.8,2.7,2019-07-22 06:00:00,15,72.41646052228697,0.0,1.0,6.123233995736766e-17
7,0,0,0,94.29,3.2,2019-07-22 06:30:00,15,69.71583301318452,0.0,0.9914448613738105,-0.13052619222005138
7,16,0,16,87.65,3.6,2019-07-22 07:00:00,15,66.7682374579901,-7.38460750874404,0.9659258262890683,-0.25881904510252085
7,51,82,63,81.57000000000001,4.0,2019-07-22 07:30:00,15,63.50750783304761,-29.570404760501,0.9238795325112867,-0.3826834323650897
7,63,530,195,75.55,4.4,2019-07-22 08:00:00,15,59.85468091991567,-60.0,0.8660254037844387,-0.4999999999999998
7,135,183,198,69.75,4.7,2019-07-22 08:30:00,15,55.71503211530569,-60.0,0.7933533402912352,-0.6087614290087207
7,84,707,392,64.24,4.9,2019-07-22 09:00:00,15,50.97643735210022,-58.14653069789688,0.7071067811865476,-0.7071067811865475
7,92,756,479,59.11,4.800000000000001,2019-07-22 09:30:00,15,45.51135297339363,-50.011357473231385,0.6087614290087204,-0.7933533402912353
7,97,790,556,54.48,4.7,2019-07-22 10:00:00,-60,39.186841064308624,-41.50443351627048,0.49999999999999994,-0.8660254037844387
7,101,815,620,50.48,4.6000000000000005,2019-07-22 10:30:00,-60,31.889527180127743,-32.62507228891495,0.3826834323650899,-0.9238795325112867
7,106,828,667,47.27,4.4,2019-07-22 11:00:00,-60,23.572202453261863,-23.40257885434332,0.258819045102521,-0.9659258262890682
7,107,838,700,45.03,4.3,2019-07-22 11:30:00,-60,14.318789220704955,-13.901474969100084,0.13052619222005157,-0.9914448613738104
7,104,851,717,43.91,4.1000000000000005,2019-07-22 12:00:00,-57,4.39846448489277,-4.220453254690877,1.2246467991473532e-16,-1.0
7,104,848,714,43.99,3.9,2019-07-22 12:30:00,-49,354.2543836165242,5.516967752543374,-0.13052619222005132,-0.9914448613738105
7,267,434,572,45.26,3.6,2019-07-22 13:00:00,-32,344.39631445998725,15.179022741847314,-0.25881904510252035,-0.9659258262890684
7,312,186,437,47.63,3.4000000000000004,2019-07-22 13:30:00,-16,335.24948744330595,24.644888178474584,-0.3826834323650892,-0.923879532511287
7,104,800,608,50.95,3.1,2019-07-22 14:00:00,-22,327.05839085341586,33.820430432190896,-0.5000000000000001,-0.8660254037844386
7,100,774,543,55.04,2.8000000000000003,2019-07-22 14:30:00,-13,319.8866798804004,42.64633317603917,-0.6087614290087207,-0.7933533402912352
7,96,729,464,59.74,2.4000000000000004,2019-07-22 15:00:00,-4,313.6753980071379,51.09806619022276,-0.7071067811865475,-0.7071067811865477
7,153,343,298,64.93,1.8,2019-07-22 15:30:00,4,308.306556784514,59.18001564336913,-0.7933533402912349,-0.6087614290087209
7,78,602,279,70.48,1.1,2019-07-22 16:00:00,14,303.6468265612176,60.0,-0.8660254037844385,-0.5000000000000004
7,63,491,180,76.31,1.0,2019-07-22 16:30:00,23,299.57017273326346,60.0,-0.9238795325112868,-0.3826834323650895
7,45,33,49,82.35000000000001,0.9,2019-07-22 17:00:00,19,295.96652290277314,26.198324232929597,-0.9659258262890683,-0.25881904510252063
7,10,0,10,88.41,0.9,2019-07-22 17:30:00,0,292.7430847105718,5.023609793206305,-0.9914448613738104,-0.13052619222005163
7,0,0,0,95.12,1.0,2019-07-22 18:00:00,60,289.8224303370284,0.0,-1.0,-1.8369701987210297e-16
7,0,0,0,101.64,1.0,2019-07-22 18:30:00,60,287.1394255297506,0.0,-0.9914448613738104,0.13052619222005213
7,0,0,0,108.25,1.0,2019-07-22 19:00:00,60,284.6378479223363,0.0,-0.9659258262890682,0.25881904510252113
7,0,0,0,114.94,1.1,2019-07-22 19:30:00,60,282.2668505134131,0.0,-0.9238795325112866,0.38268343236509
7,0,0,0,121.68,1.1,2019-07-22 20:00:00,60,279.9769640091746,0.0,-0.8660254037844386,0.5000000000000001
7,0,0,0,128.47,1.1,2019-07-22 20:30:00,60,277.7148030898404,0.0,-0.7933533402912352,0.6087614290087205
7,0,0,0,135.3,1.2000000000000002,2019-07-22 21:00:00,15,275.4146130720819,0.0,-0.7071067811865477,0.7071067811865474
7,0,0,0,142.15,1.2000000000000002,2019-07-22 21:30:00,15,272.98217355692424,0.0,-0.608761429008721,0.7933533402912349
7,0,0,0,149.02,1.2000000000000002,2019-07-22 22:00:00,15,270.2587769712285,0.0,-0.5000000000000004,0.8660254037844384
7,0,0,0,155.89,1.3,2019-07-22 22:30:00,15,266.9254471174162,0.0,-0.38268343236508956,0.9238795325112868
7,0,0,0,162.74,1.3,2019-07-22 23:00:00,15,262.1839863099516,0.0,-0.2588190451025207,0.9659258262890683
7,0,0,0,169.46,1.3,2019-07-22 23:30:00,15,253.24906218517697,0.0,-0.13052619222005168,0.9914448613738104
7,0,0,0,175.44,1.4,2019-07-23 00:00:00,15,222.19745950527164,0.0,0.0,1.0
7,0,0,0,174.78,1.4,2019-07-23 00:30:00,15,130.05300694024618,0.0,0.13052619222005157,0.9914448613738104
7,0,0,0,168.58,1.3,2019-07-23 01:00:00,15,105.13084415581808,0.0,0.25881904510252074,0.9659258262890683
7,0,0,0,161.82,1.3,2019-07-23 01:30:00,15,97.11739263483128,0.0,0.3826834323650898,0.9238795325112867
7,0,0,0,154.97,1.4,2019-07-23 02:00:00,15,92.64844707501663,0.0,0.49999999999999994,0.8660254037844387
7,0,0,0,148.1,1.4,2019-07-23 02:30:00,15,89.42694633834293,0.0,0.6087614290087207,0.7933533402912352
7,0,0,0,141.23,1.4,2019-07-23 03:00:00,15,86.75711759382358,0.0,0.7071067811865476,0.7071067811865476
7,0,0,0,134.38,1.4,2019-07-23 03:30:00,15,84.35148773491778,0.0,0.7933533402912352,0.6087614290087207
7,0,0,0,127.55,1.4,2019-07-23 04:00:00,15,82.06341844390488,0.0,0.8660254037844386,0.5000000000000001
7,0,0,0,120.76,1.4,2019-07-23 04:30:00,15,79.80392954954408,0.0,0.9238795325112867,0.38268343236508984
7,0,0,0,114.02,1.5,2019-07-23 05:00:00,15,77.50963022613587,0.0,0.9659258262890683,0.25881904510252074
7,0,0,0,107.34,1.5,2019-07-23 05:30:00,15,75.12807692139774,0.0,0.9914448613738104,0.1305261922200517
7,0,0,0,100.73,1.5,2019-07-23 06:00:00,15,72.60990715568892,0.0,1.0,6.123233995736766e-17
7,0,0,0,94.22,1.8,2019-07-23 06:30:00,15,69.9037837838435,0.0,0.9914448613738105,-0.13052619222005138
7,16,150,23,87.58,2.0,2019-07-23 07:00:00,15,66.95247386128324,-7.614620774120098,0.9659258262890683,-0.25881904510252085
7,41,423,103,81.48,2.4000000000000004,2019-07-23 07:30:00,15,63.68930941579441,-29.900489518604623,0.9238795325112867,-0.3826834323650897
7,57,580,203,75.45,2.9000000000000004,2019-07-23 08:00:00,15,60.03477404822945,-60.0,0.8660254037844387,-0.4999999999999998
7,68,678,304,69.64,3.2,2019-07-23 08:30:00,15,55.89342952031871,-60.0,0.7933533402912352,-0.6087614290087207
7,75,749,402,64.12,3.6,2019-07-23 09:00:00,15,51.15214041522967,-58.06732181964262,0.7071067811865476,-0.7071067811865475
7,82,794,491,58.97,3.6,2019-07-23 09:30:00,15,45.68189209739103,-49.93859711203783,0.6087614290087204,-0.7933533402912353
7,90,819,567,54.32,3.7,2019-07-23 10:00:00,-60,39.347680943604814,-41.440949771932175,0.49999999999999994,-0.8660254037844387
7,94,842,631,50.31,3.6,2019-07-23 10:30:00,-60,32.033522330760775,-32.57392137873894,0.3826834323650899,-0.9238795325112867
7,99,852,679,47.09,3.4000000000000004,2019-07-23 11:00:00,-60,23.68959629625624,-23.36677342414121,0.258819045102521,-0.9659258262890682
7,101,862,712,44.84,3.3000000000000003,2019-07-23 11:30:00,-60,14.39854013835918,-13.88358519839329,0.13052619222005157,-0.9914448613738104
7,98,870,727,43.71,3.2,2019-07-23 12:00:00,-57,4.431326822336416,-4.222164835789385,1.2246467991473532e-16,-1.0
7,97,870,725,43.78,3.0,2019-07-23 12:30:00,-49,354.2366097758322,5.495196340105455,-0.13052619222005132,-0.9914448613738105
7,94,869,708,45.06,2.8000000000000003,2019-07-23 13:00:00,-40,344.3313510681943,15.138066183877475,-0.25881904510252035,-0.9659258262890684
7,92,859,673,47.44,2.6,2019-07-23 13:30:00,-32,335.1462136305208,24.58677545660456,-0.3826834323650892,-0.923879532511287
7,89,841,621,50.77,2.4000000000000004,2019-07-23 14:00:00,-23,326.92747185963105,33.74795610117906,-0.5000000000000001,-0.8660254037844386
7,84,817,555,54.88,2.1,2019-07-23 14:30:00,-13,319.7375938083036,42.56260681620319,-0.6087614290087207,-0.7933533402912352
7,78,788,477,59.59,1.9,2019-07-23 15:00:00,-4,313.5151593092942,51.00613462878879,-0.7071067811865475,-0.7071067811865477
7,71,742,387,64.79,1.4,2019-07-23 15:30:00,5,308.13969622076684,59.0826263924728,-0.7933533402912349,-0.6087614290087209
7,64,671,290,70.35000000000001,1.0,2019-07-23 16:00:00,15,303.47588642954787,60.0,-0.8660254037844385,-0.5000000000000004
7,52,569,188,76.2,0.8,2019-07-23 16:30:00,24,299.39625648615663,60.0,-0.9238795325112868,-0.3826834323650895
7,36,400,90,82.25,0.6000000000000001,2019-07-23 17:00:00,32,295.7897239774976,26.563900430321915,-0.9659258262890683,-0.25881904510252063
7,12,116,15,88.33,0.5,2019-07-23 17:30:00,40,292.56276603068306,5.286600086391459,-0.9914448613738104,-0.13052619222005163
7,0,0,0,95.04,0.4,2019-07-23 18:00:00,60,289.6373742965068,0.0,-1.0,-1.8369701987210297e-16
7,0,0,0,101.56,0.5,2019-07-23 18:30:00,60,286.94787803465937,0.0,-0.9914448613738104,0.13052619222005213
7,0,0,0,108.18,0.6000000000000001,2019-07-23 19:00:00,60,284.43746764663,0.0,-0.9659258262890682,0.25881904510252113
7,0,0,0,114.87,0.8,2019-07-23 19:30:00,60,282.0545551167993,0.0,-0.9238795325112866,0.38268343236509
7,0,0,0,121.62,0.9,2019-07-23 20:00:00,60,279.7486366853418,0.0,-0.8660254037844386,0.5000000000000001
7,0,0,0,128.41,0.9,2019-07-23 20:30:00,60,277.46477356553686,0.0,-0.7933533402912352,0.6087614290087205
7,0,0,0,135.24,1.1,2019-07-23 21:00:00,15,275.13472609750136,0.0,-0.7071067811865477,0.7071067811865474
7,0,0,0,142.1,1.2000000000000002,2019-07-23 21:30:00,15,272.66002127917795,0.0,-0.608761429008721,0.7933533402912349
