,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1317,7.490264813105266,0.9589000476503962,0.09971737861633301,0.013439832614531865,0.0,20.0,,,2,6,200,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 200}",-0.024950998236734228,-0.008818770475001843,-0.007948256477067374,-0.013906008396267815,0.007818068776330664,43
21,5.8625203768412275,0.7338780108863902,0.07661851247151692,0.00726491793541156,0.0,,,,2,6,200,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 200}",-0.024951330467933915,-0.008819325125149158,-0.007947503754032038,-0.013906053115705037,0.007818296147137997,44
23,14.747061888376871,1.8765660143769372,0.17422310511271158,0.012531925146449978,0.0,,,,2,6,500,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 500}",-0.025019328477519052,-0.008787338642858446,-0.007946974639339754,-0.013917880586572418,0.007857402533965666,45
1319,19.48403795560201,2.4282694834330436,0.24422804514567056,0.007777393294203047,0.0,20.0,,,2,6,500,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 500}",-0.025019388496795133,-0.008787209277301375,-0.007947511235132494,-0.013918036336409667,0.007857323040415943,46
1316,3.6950059731801352,0.42967249364803545,0.049741109212239586,0.009468446681085168,0.0,20.0,,,2,6,100,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 100}",-0.02508502305099395,-0.008837439909621759,-0.007990655346540764,-0.013971039435718827,0.007866372941176937,47
20,2.9431360562642417,0.3520946251990215,0.03254230817159017,0.004365492814450172,0.0,,,,2,6,100,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 100}",-0.02508568751339333,-0.008837439909621759,-0.007993986445444043,-0.013972371289486378,0.00786584183059781,48
866,8.787589232126871,1.014333402280975,0.10693724950154622,0.005462035281738017,0.0,10.0,,,1,2,300,"{'ccp_alpha': 0, 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.024912225144453008,-0.009416633350614913,-0.008649565469222057,-0.014326141321429993,0.007492039166774216,49
865,5.926885048548381,0.6741342213484324,0.07729315757751465,0.007313722443815567,0.0,10.0,,,1,2,200,"{'ccp_alpha': 0, 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.02498685040648929,-0.009354003839752979,-0.008650005037011231,-0.014330286427751165,0.007540807669088223,50
867,14.499253114064535,1.7414992360669204,0.18023832639058432,0.009868616066794272,0.0,10.0,,,1,2,500,"{'ccp_alpha': 0, 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-0.02498464860133749,-0.00944514818069419,-0.008632697662967136,-0.014354164814999603,0.00752420131352306,51
1326,10.771986405054728,1.4374916465210414,0.1437967618306478,0.021419358645891097,0.0,20.0,,,4,4,300,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 300}",-0.025668836390673307,-0.009403149257346553,-0.00803004062585516,-0.014367342091291674,0.008011000223762561,52
34,8.505685249964396,1.103992794827992,0.11111179987589519,0.007780182914022079,0.0,,,,4,6,300,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 300}",-0.025668836390673307,-0.009403149257346553,-0.00803004062585516,-0.014367342091291674,0.008011000223762561,52
