date,Kt_mean,classification
2019-05-03,0.5071578383454236,Parcialmente Ensolarado
2019-05-04,0.45633992603677637,Parcialmente Nublado
2019-05-05,0.554384424207812,Parcialmente Ensolarado
2019-05-06,0.5811868036246902,Parcialmente Ensolarado
2019-05-07,0.25434354830774036,Nublado
2019-05-08,0.3216140771679505,Nublado
2019-05-09,0.4805229509507436,Parcialmente Nublado
2019-05-10,0.4734249841421198,Parcialmente Nublado
2019-05-11,0.3857487102833007,Parcialmente Nublado
2019-05-12,0.41108320748196975,Parcialmente Nublado
2019-05-13,0.5211280020757448,Parcialmente Ensolarado
2019-05-14,0.4221876591068396,Parcialmente Nublado
2019-05-15,0.4592823767985893,Parcialmente Nublado
2019-05-16,0.2727331057948189,Nublado
2019-05-17,0.19602608720754466,Nublado
2019-05-18,0.224211456633938,Nublado
2019-05-19,0.3537882311467124,Parcialmente Nublado
2019-05-20,0.5953335175722013,Parcialmente Ensolarado
2019-05-21,0.5850687163897219,Parcialmente Ensolarado
2019-05-22,0.6494354458378344,Parcialmente Ensolarado
2019-05-23,0.5576488966894972,Parcialmente Ensolarado
2019-05-24,0.24198876717465817,Nublado
2019-05-25,0.574862108511107,Parcialmente Ensolarado
2019-05-26,0.6882982666915662,Ensolarado
2019-05-27,0.6904104315249109,Ensolarado
2019-05-28,0.6130217156576435,Parcialmente Ensolarado
2019-05-29,0.5511494043379569,Parcialmente Ensolarado
2019-05-30,0.3034017668452816,Nublado
2019-05-31,0.5120241210532112,Parcialmente Ensolarado
2019-06-01,0.30534798442711863,Nublado
2019-06-02,0.1080509049217229,Nublado
2019-06-03,0.2279236484034365,Nublado
2019-06-04,0.6072158733250302,Parcialmente Ensolarado
2019-06-05,0.3475400469967883,Nublado
2019-06-06,0.5384900430192241,Parcialmente Ensolarado
2019-06-07,0.6956556860996428,Ensolarado
2019-06-08,0.5187778995203772,Parcialmente Ensolarado
2019-06-09,0.6942811909168165,Ensolarado
2019-06-10,0.6753953241045467,Ensolarado
2019-06-11,0.6608981350960409,Ensolarado
2019-06-12,0.6103934617918434,Parcialmente Ensolarado
2019-06-13,0.5640474158669072,Parcialmente Ensolarado
2019-06-14,0.63536360346164,Parcialmente Ensolarado
2019-06-15,0.6501822637139028,Ensolarado
2019-06-16,0.6013121208213886,Parcialmente Ensolarado
2019-06-17,0.4798225163461927,Parcialmente Nublado
2019-06-18,0.51977760817493,Parcialmente Ensolarado
2019-06-19,0.5892750208040786,Parcialmente Ensolarado
2019-06-20,0.6203677849554287,Parcialmente Ensolarado
2019-06-21,0.63628046527906,Parcialmente Ensolarado
2019-06-22,0.6367164610120487,Parcialmente Ensolarado
2019-06-23,0.6789995225705998,Ensolarado
2019-06-24,0.6875340580683498,Ensolarado
2019-06-25,0.6811122660353804,Ensolarado
2019-06-26,0.6260433153468083,Parcialmente Ensolarado
2019-06-27,0.5073405690742204,Parcialmente Ensolarado
2019-06-28,0.6413308961633716,Parcialmente Ensolarado
2019-06-29,0.6735043539092695,Ensolarado
2019-06-30,0.672856342194516,Ensolarado
2019-07-01,0.5876109908822843,Parcialmente Ensolarado
2019-07-02,0.5053798098060456,Parcialmente Ensolarado
2019-07-03,0.529984892256921,Parcialmente Ensolarado
2019-07-04,0.10432458460524142,Nublado
2019-07-05,0.1749963884377799,Nublado
2019-07-06,0.6840254672970519,Ensolarado
2019-07-07,0.5427985613662507,Parcialmente Ensolarado
2019-07-08,0.680336520230204,Ensolarado
2019-07-09,0.6681746770521967,Ensolarado
2019-07-10,0.651218018233303,Ensolarado
2019-07-11,0.6616315706043943,Ensolarado
2019-07-12,0.6670044643824089,Ensolarado
2019-07-13,0.6347417226101912,Parcialmente Ensolarado
2019-07-14,0.6372673400958967,Parcialmente Ensolarado
2019-07-15,0.5548543349043896,Parcialmente Ensolarado
2019-07-16,0.22813024568893114,Nublado
2019-07-17,0.43516839439931726,Parcialmente Nublado
2019-07-18,0.653421059726215,Ensolarado
2019-07-19,0.6351057036182983,Parcialmente Ensolarado
2019-07-20,0.609657731765889,Parcialmente Ensolarado
2019-07-21,0.6113450500361729,Parcialmente Ensolarado
2019-07-22,0.5917800042660598,Parcialmente Ensolarado
2019-07-23,0.6661375351818098,Ensolarado
2019-07-24,0.6634704256911459,Ensolarado
2019-07-25,0.566685149638851,Parcialmente Ensolarado
2019-07-26,0.640152318295141,Parcialmente Ensolarado
2019-07-27,0.6389379328191093,Parcialmente Ensolarado
2019-07-28,0.6532196702805245,Ensolarado
2019-07-29,0.6424681223450284,Parcialmente Ensolarado
2019-07-30,0.5404734373885742,Parcialmente Ensolarado
2019-07-31,0.6706512949901496,Ensolarado
2019-08-01,0.6853302984975337,Ensolarado
2019-08-02,0.5831095769553774,Parcialmente Ensolarado
2019-08-03,0.12518657820895374,Nublado
2019-08-04,0.07352819358009671,Nublado
2019-08-05,0.5071934667512038,Parcialmente Ensolarado
2019-08-06,0.6416912750934042,Parcialmente Ensolarado
2019-08-07,0.5548849621063665,Parcialmente Ensolarado
2019-08-08,0.6670501378018476,Ensolarado
2019-08-09,0.6782063491400682,Ensolarado
2019-08-10,0.6415334138101347,Parcialmente Ensolarado
2019-08-11,0.6314976947572862,Parcialmente Ensolarado
2019-08-12,0.6596964535557951,Ensolarado
2019-08-13,0.3107808135047172,Nublado
2019-08-14,0.23982155304684938,Nublado
2019-08-15,0.6896746775608011,Ensolarado
2019-08-16,0.688136327244409,Ensolarado
2019-08-17,0.6815479760394947,Ensolarado
2019-08-18,0.5888160084425497,Parcialmente Ensolarado
2019-08-19,0.21615949431678236,Nublado
2019-08-20,0.21270894076646388,Nublado
2019-08-21,0.3806704275628184,Parcialmente Nublado
2019-08-22,0.47232499913056286,Parcialmente Nublado
2019-08-23,0.43885459957575057,Parcialmente Nublado
2019-08-24,0.468575451827542,Parcialmente Nublado
2019-08-25,0.6167099482668994,Parcialmente Ensolarado
2019-08-26,0.6293335104104002,Parcialmente Ensolarado
2019-08-27,0.642556629734242,Parcialmente Ensolarado
2019-08-28,0.4682574268553136,Parcialmente Nublado
2019-08-29,0.6410463620320735,Parcialmente Ensolarado
2019-08-30,0.6723663973838084,Ensolarado
2019-08-31,0.5892323241255197,Parcialmente Ensolarado
2019-09-01,0.1276281781401996,Nublado
2019-09-02,0.21893390992232598,Nublado
