,datetime_utc,tracker_theta
112,2019-01-03 08:00:00+00:00,0.0
113,2019-01-03 08:30:00+00:00,-1.5174418645441534
114,2019-01-03 09:00:00+00:00,-13.905657912468413
115,2019-01-03 09:30:00+00:00,-29.348627601220173
116,2019-01-03 10:00:00+00:00,-55.0
117,2019-01-03 10:30:00+00:00,-55.0
118,2019-01-03 11:00:00+00:00,-55.0
119,2019-01-03 11:30:00+00:00,-49.90921545229666
120,2019-01-03 12:00:00+00:00,-43.30195759211705
121,2019-01-03 12:30:00+00:00,-36.640888868651444
122,2019-01-03 13:00:00+00:00,-29.919752428462928
123,2019-01-03 13:30:00+00:00,-23.138755083353008
124,2019-01-03 14:00:00+00:00,-16.30425182115578
125,2019-01-03 14:30:00+00:00,-9.427994244451185
126,2019-01-03 15:00:00+00:00,-2.525926049831545
127,2019-01-03 15:30:00+00:00,4.383476613737016
128,2019-01-03 16:00:00+00:00,11.280834061414684
129,2019-01-03 16:30:00+00:00,18.148176559625078
130,2019-01-03 17:00:00+00:00,24.970515290570642
131,2019-01-03 17:30:00+00:00,31.73741195588967
132,2019-01-03 18:00:00+00:00,38.4440666544221
133,2019-01-03 18:30:00+00:00,45.09195065829275
134,2019-01-03 19:00:00+00:00,51.689017334390996
135,2019-01-03 19:30:00+00:00,55.0
136,2019-01-03 20:00:00+00:00,55.0
137,2019-01-03 20:30:00+00:00,47.39490688221684
138,2019-01-03 21:00:00+00:00,24.620561137968828
139,2019-01-03 21:30:00+00:00,10.318891636186137
140,2019-01-03 22:00:00+00:00,0.0
141,2019-01-03 22:30:00+00:00,0.0
142,2019-01-03 23:00:00+00:00,0.0
143,2019-01-03 23:30:00+00:00,0.0
144,2019-01-04 00:00:00+00:00,0.0
145,2019-01-04 00:30:00+00:00,0.0
146,2019-01-04 01:00:00+00:00,0.0
147,2019-01-04 01:30:00+00:00,0.0
148,2019-01-04 02:00:00+00:00,0.0
149,2019-01-04 02:30:00+00:00,0.0
150,2019-01-04 03:00:00+00:00,0.0
151,2019-01-04 03:30:00+00:00,0.0
152,2019-01-04 04:00:00+00:00,0.0
153,2019-01-04 04:30:00+00:00,0.0
154,2019-01-04 05:00:00+00:00,0.0
155,2019-01-04 05:30:00+00:00,0.0
156,2019-01-04 06:00:00+00:00,0.0
157,2019-01-04 06:30:00+00:00,0.0
158,2019-01-04 07:00:00+00:00,0.0
159,2019-01-04 07:30:00+00:00,0.0
160,2019-01-04 08:00:00+00:00,0.0
161,2019-01-04 08:30:00+00:00,-1.2702764153044797
162,2019-01-04 09:00:00+00:00,-13.606026084024535
163,2019-01-04 09:30:00+00:00,-28.942395653680194
164,2019-01-04 10:00:00+00:00,-55.0
165,2019-01-04 10:30:00+00:00,-55.0
166,2019-01-04 11:00:00+00:00,-55.0
167,2019-01-04 11:30:00+00:00,-50.04393528884436
168,2019-01-04 12:00:00+00:00,-43.43379016542645
169,2019-01-04 12:30:00+00:00,-36.76961393620177
170,2019-01-04 13:00:00+00:00,-30.045061668775457
171,2019-01-04 13:30:00+00:00,-23.26026895199774
172,2019-01-04 14:00:00+00:00,-16.4215457508983
173,2019-01-04 14:30:00+00:00,-9.540632202549801
174,2019-01-04 15:00:00+00:00,-2.633498134555973
175,2019-01-04 15:30:00+00:00,4.281315429171207
176,2019-01-04 16:00:00+00:00,11.18433250377541
177,2019-01-04 16:30:00+00:00,18.057460379025084
178,2019-01-04 17:00:00+00:00,24.885573514221782
179,2019-01-04 17:30:00+00:00,31.658093013335513
180,2019-01-04 18:00:00+00:00,38.370083574018715
181,2019-01-04 18:30:00+00:00,45.02289224213742
182,2019-01-04 19:00:00+00:00,51.6243619657233
183,2019-01-04 19:30:00+00:00,55.0
184,2019-01-04 20:00:00+00:00,55.0
185,2019-01-04 20:30:00+00:00,47.712001570407395
186,2019-01-04 21:00:00+00:00,24.754687018395167
187,2019-01-04 21:30:00+00:00,10.421557852476312
188,2019-01-04 22:00:00+00:00,0.0
189,2019-01-04 22:30:00+00:00,0.0
